party,infants,water,budget,physician,salvador,religious,satellite,aid,missile,immigration,synfuels,education,superfund,crime,duty_free_exports,eaa_rsa
0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1
1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1
0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1
0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1
1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0
1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1
0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1
0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1
1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1
1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1
0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1
1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1
0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1
1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1
0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1
1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0
1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1
0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1
1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1
0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1
0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1
0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1
0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1
1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1
0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1
1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1
1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1
1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0
1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1
0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1
0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1
0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1
0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1
0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1
0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1
0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1
1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1
1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1
0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1
0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1
1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1
0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1
1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1
1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0
0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1
0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0
0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1
0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1
0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1
0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1
1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0
0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1
0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1
1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1
1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1
1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1
0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1
0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1
0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1
1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1
0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1
1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1
1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1
1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1
1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1
0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1
1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1
1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1
1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1
0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1
0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1
1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0
1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1
0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0
0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1
0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1
1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1
0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1
0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1
1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0
0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1
1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1
0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1
0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1
0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1
0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0
0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1
0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1
0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1
0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1
0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1
1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1
0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1
0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1
0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1
1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1
1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1
1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1
0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1
1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1
1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1
0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1
0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1
0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1
0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1
0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1
0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1
0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1
0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1
1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1
0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1
1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1
1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
